"V1","V2","V3","V4","V5","V6"
"C7","D8","S9","H10","DJ",5
"S4","H4","D4","H6","HK",6
"C6","C8","C10","CQ","CK",4
"S5","H5","C5","C10","SJ",6
"S3","H4","S7","H7","D7",6
"S7","D7","C7","C8","HQ",6
"S9","D10","SJ","DQ","CK",5
"S2","H2","C2","C3","C5",6
"S4","D5","H7","D7","C7",6
"S3","S6","S7","S10","SK",4
"HA","D2","H3","D4","C5",5
"C2","C9","S10","H10","C10",6
"C3","D4","S10","D10","C10",6
"S9","H9","D9","H10","D10",3
"S3","D4","S5","D6","D7",5
"S5","CJ","HQ","DQ","CQ",6
"H4","S5","D6","D7","H8",5
"D6","S7","H7","D7","C7",2
"H5","H10","HJ","DJ","CJ",6
"D5","D8","HJ","DJ","CJ",6
"HA","D10","DJ","DQ","DK",5
"HA","S5","H5","D5","DK",6
"SA","DA","CA","S7","H9",6
"S3","S7","S8","SQ","SK",4
"S3","S6","H6","C6","C8",6
"C2","S10","H10","D10","HQ",6
"H2","H7","D7","C7","S9",6
"SA","DA","CA","C5","C10",6
"H3","H4","H10","HJ","HQ",4
"H5","S9","H9","D9","SQ",6
"H6","D6","C6","SK","CK",3
"C6","D7","H8","D9","H10",5
"S3","H3","D3","D7","H8",6
"D4","DQ","SK","DK","CK",6
"S2","SQ","SK","HK","CK",6
"SA","DA","CA","C3","D4",6
"H8","H9","S10","DJ","DQ",5
"H9","S10","SJ","SQ","DK",5
"D4","H10","SQ","DQ","CQ",6
"S3","H3","C3","H5","D10",6
"D6","C7","SJ","DJ","CJ",6
"SA","H4","D4","C4","DK",6
"C6","DQ","HK","DK","CK",6
"H5","D6","HQ","DQ","CQ",6
"S2","S3","S5","D5","C5",6
"S3","D3","C3","HJ","HK",6
"H6","H7","S8","H9","H10",5
"HA","DA","S5","D5","C5",3
"D5","D7","D9","D10","DJ",4
"C6","S7","S8","S9","C10",5
"CA","S4","D4","C4","C9",6
"S7","H7","C7","H10","CK",6
"H5","S6","D6","C6","D9",6
"D3","H4","D5","D6","H7",5
"H2","S9","HQ","DQ","CQ",6
"D6","S8","H8","C8","DJ",6
"D3","H4","C5","C6","D7",5
"D3","H8","D8","C8","C10",6
"D5","H8","S10","H10","C10",6
"H4","S10","HJ","DJ","CJ",6
"H3","S8","D8","C8","HK",6
"S2","H2","C2","H6","S7",6
"C3","C4","C5","D6","H7",5
"S2","D2","C2","C3","H4",6
"D7","D8","D9","H10","SJ",5
"D5","HJ","DJ","CJ","DQ",6
"SA","HA","DA","H2","C8",6
"S3","H3","D3","H8","CQ",6
"S2","S7","SK","DK","CK",6
"SA","H5","D5","C5","S7",6
"SA","S9","H9","D9","C10",6
"H2","H4","H8","HJ","HK",4
"S7","D7","C7","S9","DQ",6
"D6","DJ","HQ","DQ","CQ",6
"S2","S5","H5","D5","SQ",6
"D6","H7","C8","C9","H10",5
"H10","D10","HK","DK","CK",3
"S4","H4","D4","C8","H9",6
"DA","D4","S6","D6","C6",6
"S7","S9","D9","C9","H10",6
"HA","H2","H3","H4","H8",4
"H7","CJ","HQ","DQ","CQ",6
"S3","S8","H8","D8","S10",6
"C2","S3","S9","D9","C9",6
"D4","S9","H9","D9","SQ",6
"S6","H6","C6","C9","CQ",6
"H3","D3","C3","C5","C9",6
"S3","H3","C3","H8","S10",6
"C6","S7","H7","C7","HJ",6
"S7","S9","H9","C9","C10",6
"SA","S4","H6","D6","C6",6
"D3","S7","SQ","HQ","DQ",6
"C4","D5","D6","C7","H8",5
"DA","H2","C3","D4","H5",5
"S3","H3","D3","S4","CK",6
"S7","S10","H10","D10","CJ",6
"S4","S8","H8","C8","DQ",6
"H7","C7","HJ","DJ","CJ",3
"D2","C3","C4","S5","H6",5
"C3","S7","H7","C7","SK",6
"C8","C9","H10","SJ","SQ",5
"H4","D4","C4","C10","HJ",6
"H9","C10","DJ","SQ","CK",5
"H2","D4","S7","D7","C7",6
"S4","S7","D7","C7","CQ",6
"DA","D4","D5","D8","DK",4
"C4","D6","SJ","HJ","DJ",6
"SA","H2","C3","C4","D5",5
"S4","D4","C4","S7","DK",6
"SA","H10","HK","DK","CK",6
"D6","C8","H10","D10","C10",6
"S5","H5","D5","S8","H10",6
"S2","H2","D2","C4","C10",6
"H2","S7","H7","D7","CJ",6
"SJ","DJ","SK","HK","CK",3
"H4","D4","C4","D8","CJ",6
"S2","H2","C2","H5","H8",6
"D3","H9","SK","DK","CK",6
"C2","H9","SJ","DJ","CJ",6
"S6","H6","C6","D7","HJ",6
"D2","S9","H9","D9","SK",6
"S7","S9","D9","C9","CJ",6
"SA","HA","DA","S4","HK",6
"S2","H2","C2","C5","C9",6
"H4","D4","S8","H8","C8",3
"S2","SQ","HK","DK","CK",6
"D3","H4","SJ","HJ","DJ",6
"S3","H7","D7","C7","S8",6
"CA","H10","D10","C10","CQ",6
"C3","S10","SJ","DJ","CJ",6
"HA","S5","H5","C5","S8",6
"S6","H6","C6","CJ","HQ",6
"D3","S4","S5","C6","C7",5
"S4","H5","S6","H6","D6",6
"H2","C3","SK","HK","CK",6
"H2","S6","S9","H9","D9",6
"C3","H10","HQ","DQ","CQ",6
"DA","S4","H5","D5","C5",6
"DA","S8","H8","C8","HK",6
"DA","S5","D5","C5","S6",6
"HA","S4","D4","C4","HQ",6
"C6","SQ","HQ","DQ","CK",6
"S3","H3","C3","S7","C8",6
"S2","S5","H5","C5","D9",6
"S9","D9","C9","HK","CK",3
"H2","S4","H4","C4","CK",6
"H7","H8","D9","D10","SJ",5
"HA","S9","H9","D9","CJ",6
"D3","S4","H5","H6","C7",5
"D9","C10","SJ","DQ","HK",5
"C5","C6","S7","D8","C9",5
"S3","H3","D3","C6","S10",6
"H3","H5","D5","C5","C10",6
"C3","S10","D10","C10","CJ",6
"H4","S5","D6","C7","C8",5
"S4","H4","C4","C8","S9",6
"D2","C3","S5","D5","C5",6
"S7","H7","D7","S8","SJ",6
"DA","H10","SJ","CQ","SK",5
"SA","DA","CA","S4","C7",6
"HA","S10","HJ","CQ","SK",5
"C5","C7","C10","CQ","CK",4
"D8","D9","C10","HJ","HQ",5
"DA","S5","H5","D5","DQ",6
"C4","C5","S6","H7","H8",5
"H4","S5","H5","C5","HJ",6
"DA","H5","D5","C5","DK",6
"D5","D6","H7","S8","C9",5
"S3","H8","SQ","DQ","CQ",6
"C5","S6","H7","D8","S9",5
"H5","H6","D6","C6","C7",6
"C5","C6","C9","C10","CK",4
"D6","S7","C8","H9","C10",5
"H7","D7","C7","SQ","CK",6
"D5","S7","H7","D7","D9",6
"D6","C7","HJ","DJ","CJ",6
"H2","D2","C2","S9","DK",6
"H3","C6","S10","D10","C10",6
"H4","D4","C4","D7","S8",6
"S5","H6","S9","H9","C9",6
"D6","S8","H8","D8","CK",6
"D5","S6","S7","D7","C7",6
"H7","H8","D9","H10","CJ",5
"SA","DA","CA","SJ","HK",6
"C7","C8","C9","S10","SJ",5
"C4","H6","S10","H10","C10",6
"S7","H7","D7","H9","CJ",6
"S2","H2","C2","S4","H8",6
"S6","H6","C6","S9","D10",6
"D7","H8","C9","D10","HJ",5
"S2","H2","D2","C4","DJ",6
"CA","D9","SJ","HJ","DJ",6
"C3","H6","D6","C6","C8",6
"H2","H3","D3","C3","H7",6
"SA","S10","DJ","HQ","CK",5
"DA","C6","SJ","DJ","CJ",6
"H3","H4","H7","H10","HK",4
"D3","SJ","DJ","CJ","DK",6
"H7","H10","D10","C10","HK",6
"C5","C6","C8","C10","CJ",4
"S3","D3","C3","D5","D6",6
"S3","H6","D6","C6","C7",6
"H4","D7","S8","H8","C8",6
"D3","S5","H5","C5","HK",6
"H7","S8","H10","D10","C10",6
"SA","HA","SQ","HQ","DQ",3
"S5","H5","D5","D9","C10",6
"S2","S9","D9","C9","HK",6
"S5","S8","S10","D10","C10",6
"H4","H5","H9","HJ","HK",4
"S5","S10","H10","C10","HJ",6
"S3","H3","D3","C10","CQ",6
"C2","H4","D4","C4","HQ",6
"D3","S8","D8","C8","D9",6
"H6","S9","H9","D9","HQ",6
"S5","D6","H10","D10","C10",6
"H2","D2","C2","D10","DJ",6
"S9","S10","H10","D10","C10",2
"SA","S4","H5","D5","C5",6
"S8","S9","D10","HJ","SQ",5
"SA","HA","CA","H2","S6",6
"C3","H4","D4","C4","C8",6
"DA","H3","D3","C3","HK",6
"DA","H9","D9","C9","H10",6
"C5","D7","HQ","DQ","CQ",6
"C3","S9","H9","C9","DJ",6
"S3","D3","C3","C6","S10",6
"H3","D3","C3","C8","C10",6
"D5","H6","S8","H8","C8",6
"H8","D8","SK","DK","CK",3
"H2","D8","SK","HK","CK",6
"H2","D2","C2","S6","D10",6
"S3","D3","C3","SJ","DQ",6
"SA","DA","CA","S10","D10",3
"C2","S9","D9","C9","HK",6
"HA","S2","H2","C2","DQ",6
"DA","D8","HK","DK","CK",6
"HA","DA","CA","S5","S8",6
"S3","D6","SQ","DQ","CQ",6
"S7","C8","SQ","HQ","CQ",6
"H6","D6","C6","D9","D10",6
"S2","H7","S9","H9","C9",6
"DA","D3","D6","D8","D10",4
"DA","S6","S7","H7","C7",6
"C4","S5","HK","DK","CK",6
"H3","D3","C3","C9","DK",6
"H4","SJ","HJ","CJ","SK",6
"S2","H2","C2","S4","C7",6
"CA","D6","SQ","DQ","CQ",6
"DA","D3","D6","DJ","DQ",4
"H9","C10","DJ","DQ","SK",5
"DA","H10","CJ","DQ","SK",5
"CA","H2","H3","S4","C5",5
"S2","D2","C2","S4","C9",6
"S7","HQ","SK","HK","DK",6
"H2","S5","H8","D8","C8",6
"H3","S7","D7","C7","C10",6
"C8","D9","H10","HJ","CQ",5
"C5","H6","S8","H8","C8",6
"S6","H6","C6","S10","SQ",6
"CA","S9","HJ","DJ","CJ",6
"H8","H9","S10","DJ","HQ",5
"S2","D2","C2","S9","CK",6
"C3","H4","H5","S6","H7",5
"S4","H4","D4","H5","H10",6
"H2","D3","S4","S5","H6",5
"S2","H3","S8","H8","D8",6
"C3","S7","SJ","HJ","DJ",6
"CA","S5","SK","HK","CK",6
"SA","S2","S9","S10","SK",4
"H4","H5","S6","C7","S8",5
"SA","DA","CA","S2","CK",6
"SA","S3","S9","H9","C9",6
"S3","H9","D9","C9","H10",6
"HA","S4","H4","D4","S8",6
"H7","H10","SQ","DQ","CQ",6
"SA","S3","H3","C3","SK",6
"H3","D4","S5","H6","S7",5
"D5","C6","S7","D7","C7",6
"D2","S4","H4","C4","H10",6
"D2","C3","D4","C5","C6",5
"S2","H6","D6","C6","SQ",6
"S4","H4","D4","HQ","DQ",3
"H3","D3","C3","CJ","SK",6
"S3","D3","C3","S5","C8",6
"H3","C3","SK","HK","DK",3
"S2","D2","C2","D3","D10",6
"CA","S2","S3","H4","C5",5
"S6","H6","C6","C10","CK",6
"S7","S8","H8","D8","DK",6
"H3","S7","H7","D7","CJ",6
"S2","H2","C2","S9","HJ",6
"SA","S4","SJ","HJ","CJ",6
"S3","H6","D6","C6","S10",6
"DA","C10","DJ","HQ","DK",5
"H6","D6","C6","D9","DK",6
"HA","S8","D8","C8","SQ",6
"S7","D8","H9","S10","HJ",5
"S2","S8","H9","D9","C9",6
"C4","H7","S9","H9","D9",6
"S4","H4","D4","C8","S10",6
"S7","H7","C7","DJ","HQ",6
"S5","H5","C5","S7","H10",6
"H5","D5","C5","HJ","DQ",6
"S2","H2","C2","D5","H10",6
"S7","C10","SQ","DQ","CQ",6
"SA","C10","SJ","DQ","CK",5
"S2","D9","HJ","DJ","CJ",6
"SA","D10","SJ","CQ","SK",5
"D3","C5","HK","DK","CK",6
"HA","H10","DJ","SQ","HK",5
"H5","S8","SJ","DJ","CJ",6
"H4","H6","S8","H8","D8",6
"D6","D7","SQ","HQ","DQ",6
"C4","H5","SJ","HJ","DJ",6
"S3","H3","C3","H5","HJ",6
"S5","C6","S10","D10","C10",6
"S6","SJ","HJ","DJ","CJ",2
"H3","S4","S8","H8","D8",6
"C4","D6","S9","H9","C9",6
"H5","S7","H7","D7","SJ",6
"S5","D5","C5","S7","CQ",6
"H5","S9","H9","D9","CJ",6
"S3","H3","D3","D9","C10",6
"C5","C7","HJ","DJ","CJ",6
"D5","D6","SK","HK","DK",6
"DA","H8","SK","HK","DK",6
"SA","CA","H6","D6","C6",3
"C3","H6","D6","C6","HQ",6
"D8","C8","SK","HK","CK",3
"D4","C5","S6","D7","H8",5
"D2","S3","HJ","DJ","CJ",6
"D3","H7","SQ","DQ","CQ",6
"H2","S7","H7","C7","C8",6
"C2","H9","S10","H10","C10",6
"S3","H3","C3","HQ","CK",6
"CA","S2","S8","D8","C8",6
"SA","HA","DA","D9","SQ",6
"D4","H5","D5","C5","C7",6
"C3","SQ","HQ","CQ","CK",6
"H2","S3","H4","D4","C4",6
"C5","S8","HJ","DJ","CJ",6
"D6","C7","H8","C9","C10",5
"C2","C4","C5","C9","CJ",4
"C3","C4","S10","H10","C10",6
"S4","H6","S10","D10","C10",6
"S5","H5","D5","D9","SQ",6
"S5","H5","D5","S6","DK",6
"H7","C8","C9","S10","CJ",5
"H5","D5","C5","D6","H9",6
"S3","S8","D8","C8","D10",6
"S2","H2","C2","H7","SK",6
"H4","D4","C4","H6","H7",6
"S4","S5","S10","SQ","SK",4
"SA","HA","CA","S8","H10",6
"H7","C7","S8","H8","D8",3
"S3","D3","C3","D7","D8",6
"D5","C7","H8","D8","C8",6
"C2","C4","C5","C8","CQ",4
"SA","HA","CA","S6","HJ",6
"S2","H2","C2","D3","DQ",6
"S4","H4","D4","S6","DK",6
"S4","H4","D4","D6","C10",6
"C3","D4","C5","D6","H7",5
"D2","C3","C4","H5","S6",5
"H6","H8","D8","C8","H10",6
"SA","D10","SJ","SQ","HK",5
"S7","H7","D7","HK","DK",3
"C4","C5","S6","S7","S8",5
"D2","S9","D9","C9","CK",6
"C6","S7","S9","D9","C9",6
"C5","H6","D7","S8","H9",5
"D2","S9","H9","D9","HJ",6
"C3","S7","D7","C7","H10",6
"S5","C6","H7","D8","D9",5
"S3","H4","S7","H7","C7",6
"C6","S8","D8","C8","DK",6
"SA","DA","CA","SJ","DJ",3
"S4","H4","D4","H9","DJ",6
"C3","S10","H10","D10","CJ",6
"D6","D9","SJ","DJ","CJ",6
"C3","C4","C6","C7","C10",4
"SA","S7","S9","S10","SK",4
"S6","S9","D9","C9","HQ",6
"S3","D10","SK","DK","CK",6
"C2","H6","HQ","DQ","CQ",6
"H3","S10","H10","C10","HQ",6
"S3","S4","D4","C4","H10",6
"S5","D5","C5","S7","SJ",6
"H2","S5","HK","DK","CK",6
"S5","D6","SJ","HJ","CJ",6
"H3","D3","C3","H6","S7",6
"D4","S5","H5","C5","CK",6
"S2","S7","S9","SJ","SQ",4
"C2","CJ","HQ","DQ","CQ",6
"D8","C9","C10","DJ","CQ",5
"S2","H2","C2","D3","SK",6
"C2","C5","C10","CQ","CK",4
"H5","D5","C5","SJ","SQ",6
"D2","S6","S8","D8","C8",6
"S5","H5","D5","C5","DQ",2
"S7","H7","D7","DJ","SK",6
"D6","C6","S9","H9","D9",3
"D8","SJ","HJ","DJ","CJ",2
"S3","D3","C3","H6","C6",3
"S4","S7","H7","C7","C10",6
"D3","C8","SK","DK","CK",6
"CA","S3","D3","C3","H6",6
"H6","CJ","SQ","HQ","DQ",6
"SA","S4","S8","S10","SQ",4
"HA","H2","H3","H8","HQ",4
"HA","D2","S3","D4","S5",5
"H2","D2","C2","D6","S9",6
"D4","S5","D5","C5","HJ",6
"C2","S3","D4","H5","H6",5
"C7","D8","C9","S10","SJ",5
"HA","H7","HJ","HQ","HK",4
"CA","S10","SJ","SQ","DK",5
"S3","C4","D5","D6","H7",5
"D3","D10","HJ","DJ","CJ",6
"SA","HA","CA","D5","C5",3
"H4","D4","C4","H5","C8",6
"S2","H2","D2","C2","D10",2
"S9","S10","HJ","DQ","HK",5
"SA","HA","DA","D9","CK",6
"H3","H5","S10","H10","C10",6
"S6","D6","C6","H9","H10",6
"D2","S3","S4","D5","D6",5
"H4","D4","C4","H5","D7",6
"C3","H7","D7","C7","HK",6
"S5","H5","C5","D7","H8",6
"D2","HJ","DJ","CJ","HQ",6
"S3","H3","D3","C10","DQ",6
"S2","S4","D4","C4","CQ",6
"D4","S8","D8","C8","C10",6
"H3","H5","H6","H9","H10",4
"SA","S7","H7","C7","SK",6
"C6","H9","D9","C9","DQ",6
"CA","D3","S10","D10","C10",6
"CA","S2","H2","D2","D7",6
"HA","S4","D4","C4","S9",6
"SA","S3","S8","D8","C8",6
"H4","D4","C4","H8","S9",6
"C6","S9","D9","C9","CK",6
"D3","S6","H6","C6","H9",6
"H7","S10","H10","D10","DJ",6
"C6","S7","D7","C7","DK",6
"C2","C3","SQ","DQ","CQ",6
"S3","H3","D3","H4","D8",6
"D2","S6","H6","C6","SQ",6
"H8","D9","H10","HJ","SQ",5
"SA","DA","CA","C9","CJ",6
"S2","S3","H6","D6","C6",6
"DA","S2","C3","C4","D5",5
"HA","H3","D3","C3","H8",6
"C6","S7","S8","D9","D10",5
"D2","D4","D7","D9","D10",4
"H7","D8","C9","S10","SJ",5
"S7","S10","H10","C10","SJ",6
"H4","D5","D6","D7","D8",5
"S5","H5","D5","C5","H10",2
"S4","D4","C4","S7","HQ",6
"H5","H9","H10","D10","C10",6
"H4","S5","H5","C5","H10",6
"H2","S7","H7","C7","S8",6
"S2","D2","C2","C4","CK",6
"S4","D4","C4","H7","D8",6
"S4","S6","H9","D9","C9",6
"S4","D4","C4","S8","SK",6
"SQ","HQ","DQ","HK","DK",3
"S4","SJ","DJ","CJ","DK",6
"C3","H4","S5","H6","C7",5
"S8","H9","H10","HJ","CQ",5
"H2","H5","H7","H8","HJ",4
"SA","DA","CA","D2","SJ",6
"S4","H4","C4","H7","DK",6
"H6","S7","H7","D7","D10",6
"H5","S7","H9","D9","C9",6
"C3","D7","S8","H8","D8",6
"S3","S4","S6","S8","S10",4
"D3","S4","S9","D9","C9",6
"SA","HA","DA","S6","H10",6
"S2","D2","C2","S8","DJ",6
"S3","D6","SK","DK","CK",6
"SA","DA","CA","C8","CJ",6
"S2","H2","D2","S9","HQ",6
"S4","S6","H7","D7","C7",6
"S6","S7","H7","C7","H9",6
"S9","D9","C9","S10","H10",3
"H4","D7","SK","HK","DK",6
"S4","C9","H10","D10","C10",6
"D2","S4","H9","D9","C9",6
"SA","HA","CA","S8","HK",6
"C9","H10","SJ","CQ","CK",5
"D6","D7","D10","DJ","DK",4
"SA","HA","CA","C2","C7",6
"DA","D5","S8","H8","D8",6
"SA","S5","H5","D5","D8",6
"S3","H3","C3","D6","D7",6
"H4","S5","H5","D5","CK",6
"CA","C6","C7","C8","CJ",4
"C2","C5","H10","D10","C10",6
"D4","S7","H7","D7","CQ",6
"SA","HA","CA","C5","S6",6
"S3","H3","C3","HJ","HK",6
"SA","HA","CA","H3","H4",6
"HA","H6","SK","DK","CK",6
"S7","H7","D7","C7","HJ",2
"S5","H5","D5","D10","C10",3
"DA","D2","S3","H3","C3",6
"S5","S7","H7","D7","D8",6
"C3","S4","H4","D4","H7",6
"SA","HA","CA","D4","D9",6
"C7","S8","C9","H10","DJ",5
"S6","SQ","DQ","CQ","HK",6
"C9","H10","CJ","SQ","CK",5
"S3","S4","S7","S8","S9",4
"S4","H4","D4","C4","SQ",2
"S2","H2","D2","C4","S8",6
"SA","DA","CA","C4","D9",6
"DA","S6","H6","D6","SK",6
"SA","S2","S5","S7","SQ",4
"D2","D6","S7","H7","D7",6
"HA","H3","D3","C3","DK",6
"D9","S10","HJ","HQ","CK",5
"C6","C7","SK","DK","CK",6
"S6","H7","C8","D9","H10",5
"C4","H8","D8","C8","SK",6
"S5","S10","HQ","DQ","CQ",6
"H9","D10","CJ","SQ","DK",5
"D3","S6","H6","D6","S7",6
"D3","H5","S10","H10","C10",6
"SA","S4","D4","C4","C8",6
"C3","HJ","SK","DK","CK",6
"HA","DA","H10","D10","C10",3
"H2","D2","C2","S3","SK",6
"H7","D7","C7","C9","CK",6
"H3","D3","C3","D8","SQ",6
"H3","D3","S6","H6","C6",3
"S2","S4","S7","SJ","SQ",4
"SA","HA","DA","S3","H6",6
"D2","S9","D9","C9","DK",6
"C3","D5","S9","H9","D9",6
"C2","S6","S8","D8","C8",6
"DA","S4","D4","C4","S10",6
"S9","H9","C9","SK","CK",3
"SA","S2","S6","S9","S10",4
"D5","S6","S7","S8","S9",5
"SA","HA","DA","H9","C10",6
"H5","C6","S10","H10","D10",6
"S3","H3","S9","D9","C9",3
"SA","SJ","DJ","CJ","CQ",6
"SA","HA","CA","H6","D9",6
"D2","D4","S9","D9","C9",6
"SA","S3","H3","C3","DJ",6
"S2","S3","D4","C5","D6",5
"S7","H7","D7","C9","DQ",6
"SA","HA","DA","CQ","CK",6
"S6","D6","C6","HQ","CQ",3
"C2","C3","C4","C8","C9",4
"SA","H2","D2","C2","H4",6
"H2","H9","D9","C9","H10",6
"SA","H7","SK","HK","DK",6
"S3","D9","SJ","HJ","DJ",6
"S3","SJ","SQ","DQ","CQ",6
"D6","D7","S8","S9","D10",5
"S6","D7","HK","DK","CK",6
"S4","H4","C4","CJ","DQ",6
"S2","D3","D4","S5","H6",5
"CA","C4","C6","C8","C10",4
"S3","D3","C3","H7","S8",6
"S3","S4","SJ","HJ","DJ",6
"SA","DA","CA","S7","S8",6
"H2","H4","S10","H10","D10",6
"HA","H10","CJ","DQ","CK",5
"H4","S6","H6","C6","SJ",6
"C2","S8","H8","C8","HQ",6
"D3","S5","D5","C5","CJ",6
"H7","H10","SQ","HQ","DQ",6
"S3","S4","SJ","DJ","CJ",6
"DA","D2","D5","DJ","DK",4
"D2","H5","D5","C5","H7",6
"DA","S3","H8","D8","C8",6
"SA","S2","S9","SJ","SK",4
"S2","H2","D2","SJ","HK",6
"DA","S4","H4","C4","CQ",6
"H5","D5","C5","D9","SK",6
"CA","D10","SJ","DJ","CJ",6
"H3","H5","S7","D7","C7",6
"H7","S8","H8","C8","H9",6
"H6","D6","C6","CJ","DK",6
"C4","S5","H5","D5","DJ",6
"HA","H6","D6","C6","DJ",6
"S3","C7","S8","H8","C8",6
"S2","D2","C2","D5","D6",6
"DA","C6","HJ","DJ","CJ",6
"D5","H6","C7","D8","D9",5
"D3","H6","D6","C6","H7",6
"S2","S9","HK","DK","CK",6
"H3","D3","C3","D4","HQ",6
"C2","S3","H3","C3","S8",6
"SA","H2","S10","H10","D10",6
"C3","D4","H5","C6","H7",5
"H4","S6","D6","C6","D10",6
"S4","SJ","DJ","CJ","CQ",6
"S7","C9","HK","DK","CK",6
"C5","H10","HK","DK","CK",6
"SA","S5","H5","D5","S9",6
"H4","D4","C4","SJ","HK",6
"D6","C9","SQ","DQ","CQ",6
"H3","H4","S5","D6","C7",5
"C3","S4","D5","S6","S7",5
"H2","D2","C2","D7","D9",6
"C3","S6","H6","D6","DK",6
"H5","D6","S7","C8","H9",5
"HA","H7","S10","D10","C10",6
"S7","S8","D8","C8","CK",6
"S8","S9","H10","CJ","SQ",5
"S4","S6","S10","SJ","SQ",4
"C5","H8","S9","H9","C9",6
"C2","C3","C8","CQ","CK",4
"CA","C2","H3","C4","H5",5
"D7","S8","H8","D8","H9",6
"HA","S4","S8","D8","C8",6
"S2","S3","SJ","HJ","CJ",6
"C4","C5","C6","H7","S8",5
"D3","S5","SQ","HQ","DQ",6
"S5","SQ","HQ","DQ","CQ",2
"C5","DJ","HQ","DQ","CQ",6
"D3","D6","D9","D10","DK",4
"SA","HA","CA","C7","D8",6
"H4","S9","D9","C9","DJ",6
"S4","H4","D4","D6","S9",6
"SA","HA","CA","S3","S5",6
"SA","HA","DA","H2","D5",6
"S6","D6","C6","C7","S8",6
"S6","D6","C6","C7","SQ",6
"SA","S2","D2","C2","D8",6
"HA","H6","D6","C6","D10",6
"S2","H2","D2","S5","DJ",6
"C8","S9","C10","SJ","HQ",5
"S4","D4","C4","D7","H10",6
"SA","HA","DA","DQ","HK",6
"D5","C6","H7","S8","S9",5
"C4","S7","SK","HK","CK",6
"S4","S7","HK","DK","CK",6
"SA","HA","DA","D10","SK",6
"S9","D9","C9","HJ","CJ",3
"H2","C6","SK","HK","DK",6
"SA","S6","S7","SJ","SQ",4
"S2","H2","D2","H7","SK",6
"SA","HA","CA","C2","D3",6
"D3","D4","S10","H10","D10",6
"S4","H4","C4","D7","C9",6
"C6","H7","H8","S9","H10",5
"H2","S6","SJ","HJ","DJ",6
"C7","S8","H9","C10","HJ",5
"C3","S8","H8","D8","C8",2
"C6","S7","H7","C7","CJ",6
"S6","H6","D6","C6","D8",2
"S5","C6","H7","D8","C9",5
"HA","S7","H7","D7","S10",6
"S7","S9","H9","C9","DK",6
"CA","S2","S3","H3","C3",6
"D4","D5","C6","D7","H8",5
"S3","H3","C3","H6","S10",6
"S4","S10","SQ","DQ","CQ",6
"HA","H6","D6","C6","H8",6
"S9","H10","CJ","SQ","DK",5
"S5","HQ","DQ","CQ","SK",6
"CA","H6","S7","H7","C7",6
"CA","H6","D6","C6","DQ",6
"SA","HA","CA","D5","H8",6
"CA","D2","C3","S4","D5",5
"H7","S8","H9","C10","SJ",5
"S5","D5","C5","H7","C7",3
"DA","S9","D9","C9","HJ",6
"S2","D2","C2","D3","S8",6
"SA","HA","CA","C2","C5",6
"H4","D4","C4","D6","CJ",6
"SA","HA","DA","D2","C4",6
"S6","S7","C8","C9","D10",5
"C5","H6","S9","H9","C9",6
"C4","C5","CJ","CQ","CK",4
"S3","H3","C3","D8","DJ",6
"S3","H3","D3","H5","C10",6
"H4","H5","D5","C5","H7",6
"SA","S8","D8","C8","S9",6
"S2","D2","C2","C7","H9",6
"S4","H4","C4","S5","DJ",6
"SA","H6","D6","C6","HJ",6
"CA","C2","C5","C10","CJ",4
"SA","DA","CA","D6","S8",6
"C3","S4","H4","D4","HQ",6
"D8","S9","D10","SJ","SQ",5
"S5","H5","D5","D7","D8",6
"S2","S4","S8","S9","SK",4
"CA","H4","D4","C4","HQ",6
"D2","S6","D6","C6","S8",6
"H5","H9","D9","C9","CQ",6
"C2","D6","S7","H7","C7",6
"S4","H5","D5","C5","S6",6
"S5","H10","D10","C10","DQ",6
"D2","D7","H8","D8","C8",6
"S3","S4","H4","C4","D6",6
"H5","D6","H7","D8","S9",5
"SA","HA","CA","S9","HJ",6
"SA","HA","CA","C6","HK",6
"H5","H6","D6","C6","DQ",6
"S6","H6","D6","C8","S9",6
"C2","SJ","HJ","DJ","SK",6
"S2","H6","S7","H7","D7",6
"H2","D2","C2","S5","C7",6
"S2","H3","D3","C3","HQ",6
"S6","D6","C6","D9","HJ",6
"S4","H9","D9","C9","D10",6
"H5","C10","SJ","DJ","CJ",6
"HA","C6","H8","D8","C8",6
"D2","H8","D8","C8","HK",6
"SA","S2","H2","C2","D4",6
"C2","S6","H6","D6","CQ",6
"S3","H3","D3","C6","H10",6
"S3","D3","C3","S10","HQ",6
"H3","D3","C3","D7","SQ",6
"S4","S5","S6","S10","SQ",4
"SA","HA","DA","C8","C9",6
"S4","H7","SQ","DQ","CQ",6
"S2","D2","C2","S5","D10",6
"S2","H7","D7","C7","SQ",6
"HA","CJ","SQ","HQ","DQ",6
"H3","D3","C3","SJ","DJ",3
"SA","HA","CA","S2","D10",6
"S6","H6","C6","H7","C7",3
"C3","S7","S10","D10","C10",6
"D4","S5","C6","S7","C8",5
"H2","H3","SQ","DQ","CQ",6
"SA","DA","CA","D3","S7",6
"H5","D6","S8","H8","D8",6
"C3","H9","D9","C9","CK",6
"C3","H5","H6","D6","C6",6
"D3","S7","SK","HK","DK",6
"D6","S7","D8","S9","S10",5
"S6","D10","SQ","HQ","CQ",6
"C2","S3","H3","D3","S8",6
"H7","D8","H9","C10","CJ",5
"D2","S4","H4","C4","S7",6
"SA","C3","H7","D7","C7",6
